AR108321;4;24;Vestimos a... Caperucita Roja;VA.CAPERUCITA;;;13;;AUT,ILU;5255,5255;5255;2;;;476;;;;;;;9788467503210;9788467503210;1;17;60;12;30,00;19,00;0,30;0,00;0,00;0,00;;;;;PGR;;
AR108829;4;6;Didactired I. Gramática. Aspectos pragmático-discursivos;DIDACTIRED GRAMATICA VOL.I 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510027;9788467510027;1;10;13;216;24,50;19,20;1,50;138,00;138,00;;;;;;ELE;;
AR108831;4;6;Didactired II. Léxico. Aspectos socio-lingüísticos;DIDACTIRED LEXICO VOL.II 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510034;9788467510034;1;10;13;190;24,50;19,50;1,40;138,00;138,00;;;;;;ELE;;
AR108833;4;6;Didactired V. Actividades de la lengua y estrategias;DIDACTIRED ACTIV.DE LA LENGUA VOL.V 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510065;9788467510065;1;10;12;232;24,50;19,50;1,60;138,00;138,00;;;;;;ELE;;
AR108835;4;6;Didactired VI. Gestión de clase;DIDACTIRED GESTION DE CLASE VOL.VI 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510072;9788467510072;1;10;15;184;24,50;19,50;1,30;138,00;138,00;;;;;;ELE;;
AR108866;4;6;Aula Amigos 3 Internacional. Pack Alumno;ELE.AULA AMIGOS 3 LIBRO DEL ALUMNO 07;;;13;;AUT,AUT,AUT;7844,7845,7846;7844,7845,7846;12;;;;;;;;;;9788467514025;9788467514025;1;10;20;128;29,00;21,00;0,90;36,30;36,30;;;;;;ELE;;
AR108867;4;6;Didactired IV. Competencias generales;DIDACTIRED COMPETENCIAS GRLES.VOL.IV 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510058;9788467510058;1;10;14;208;24,50;19,50;1,30;138,00;138,00;;;;;;ELE;;
AR108868;4;6;Aula Amigos 3 Internacional. RRDD;ELE.RD.AULA AMIGOS 3 07;;;13;;AUT,AUT,AUT;7844,7845,7846;7844,7845,7846;16;;;;;;;;;;9788467514032;9788467514032;7;10;10;168;30,00;24,10;2,10;36,30;36,30;;;;;;ELE;;
AR108886;4;4;Salgamos a buscarlo fuera de la ciudad;SA.170 SALGAMOS A BUSCARLO FUERA DE LA C;Notas para una teología y espiritualidad desde el cuarto mundo;;13;;AUT;10344;10344;18;;;432;;;;;;;9788428822619;9788428822619;1;10;32;160;19,00;12,20;1,10;64,00;64,00;0,00;;;;;PPC;;
AR108923;4;4;Metodología catequística para niños;DJ. 2 METODOLOGIA CATEQUISTICA PARA NIÑO;Cómo dar catequesis hoy;;13;;AUT,EDI;7392,6082;7392;20;;4;161;;;;;;;9788428819435;9788428819435;1;10;26;256;21,00;15,00;1,50;220,00;220,00;0,00;;;;;CAT;;
