AR111824;4;6;Didactired III. Funciones. Aspectos fonológicos y fonéticos;DIDACTIRED FUNCIONES VOL.III 06;;16;13;;AUT;
AR111967;4;6;Protagonistas B1. Guía didáctica [Internacional];PROTAGONISTAS B1 GUIA DIDACTICA 10;;;17;;AUT,AUT,AUT;
AR112343;4;6;Redes 1. Libro del alumno;REDES 1 LIBRO DEL ALUMNO 06;Curso de español para extranjeros;;13;;AUT,AUT,ILU;
AR112344;4;6;Redes 1. Cuaderno de ejercicios;REDES 1 CUAD.DE EJERCICIOS 06;;;13;;AUT,AUT,ILU,ILU,ILU,ILU;
AR112345;4;6;Redes 2. Libro del alumno;REDES 2 LIBRO DEL ALUMNO 06;;;13;;AUT,AUT,ILU;
AR112356;4;6;Redes 3. Libro Alumno;REDES 3 LIBRO DEL ALUMNO 06;;;13;;AUT,ILU;
AR113244;4;24;El sueño de Lupe;GL.EL SUEÑO DE LUPE;;;13;;AUT,ILU;
AR113407;4;1;Imaginario;DICC.IMAGINARIO 07;Diccionario en Imágenes;;13;;AUT;
AR113460;4;1;Words and Pictures;DICC.WORDS AND PICTURES-INGLES 07;Picture Dictinonary;;12;;AUT;
AR113461;4;1;Dicomages;DICC.DICOMAGES-FRANCES 07;Dictionnaire en images;;15;;AUT;
AR113576;4;24;Detective Esqueleto [Skulduggery Pleasant];SKULDUGGERY PLEASANT,UN DETECT;;;13;;AUT;
AR113577;4;24;Detective Esqueleto: Jugando con fuego [Skulduggery Pleasant];SKULDUGGERY PLEASANT II-JUGAND;;;13;;AUT;
AR113578;4;24;Detective Esqueleto: Los sin rostro [Skulduggery Pleasant];SKULDUGGERY PLEASANT III-LOS S;;;13;;AUT;
AR113635;4;24;El camino que no iba a ninguna parte;BRO.EL CAMINO QUE NO IBA A NINGUNA PARTE;;;13;;AUT,ILU,TRA;
AR113949;4;24;La mejor familia del mundo;LA MEJOR FAMILIA DEL MUNDO;;;13;;AUT,ILU;
